

==> Preparing data..
Files already downloaded and verified
5 Loss: 2.123 | Acc: 24.010
6 Loss: 2.098 | Acc: 25.260
7 Loss: 2.078 | Acc: 26.440
8 Loss: 2.060 | Acc: 27.220
9 Loss: 2.042 | Acc: 28.130
10 Loss: 2.028 | Acc: 28.580
11 Loss: 2.015 | Acc: 29.140
12 Loss: 2.001 | Acc: 29.850
13 Loss: 1.988 | Acc: 30.780
14 Loss: 1.976 | Acc: 31.330
15 Loss: 1.963 | Acc: 31.710
16 Loss: 1.950 | Acc: 32.170
17 Loss: 1.940 | Acc: 32.780
18 Loss: 1.931 | Acc: 33.010
19 Loss: 1.923 | Acc: 33.550
20 Loss: 1.914 | Acc: 34.090
21 Loss: 1.906 | Acc: 34.100
22 Loss: 1.899 | Acc: 34.560
23 Loss: 1.891 | Acc: 34.970
24 Loss: 1.883 | Acc: 35.260
25 Loss: 1.876 | Acc: 35.600
26 Loss: 1.868 | Acc: 36.130
27 Loss: 1.861 | Acc: 36.290
28 Loss: 1.853 | Acc: 36.490
29 Loss: 1.846 | Acc: 36.770
30 Loss: 1.839 | Acc: 37.020
31 Loss: 1.832 | Acc: 37.130
32 Loss: 1.825 | Acc: 37.440
33 Loss: 1.819 | Acc: 37.740
34 Loss: 1.812 | Acc: 37.950
35 Loss: 1.805 | Acc: 38.260
36 Loss: 1.799 | Acc: 38.530
37 Loss: 1.792 | Acc: 38.700
38 Loss: 1.786 | Acc: 38.950
39 Loss: 1.779 | Acc: 38.880
40 Loss: 1.773 | Acc: 39.050
41 Loss: 1.767 | Acc: 39.460
42 Loss: 1.760 | Acc: 39.520
43 Loss: 1.754 | Acc: 39.630
44 Loss: 1.747 | Acc: 39.900
45 Loss: 1.741 | Acc: 40.180
46 Loss: 1.735 | Acc: 40.210
47 Loss: 1.729 | Acc: 40.380
48 Loss: 1.722 | Acc: 40.580
49 Loss: 1.716 | Acc: 40.840
50 Loss: 1.710 | Acc: 41.180
51 Loss: 1.704 | Acc: 41.460
52 Loss: 1.698 | Acc: 41.500
53 Loss: 1.692 | Acc: 41.750
54 Loss: 1.686 | Acc: 41.970
55 Loss: 1.680 | Acc: 42.250
56 Loss: 1.675 | Acc: 42.640
57 Loss: 1.669 | Acc: 42.780
58 Loss: 1.663 | Acc: 42.780
59 Loss: 1.657 | Acc: 43.140
60 Loss: 1.652 | Acc: 43.240
61 Loss: 1.646 | Acc: 43.610
62 Loss: 1.640 | Acc: 43.780
63 Loss: 1.635 | Acc: 43.870
64 Loss: 1.629 | Acc: 44.190
65 Loss: 1.624 | Acc: 44.340
66 Loss: 1.618 | Acc: 44.630
67 Loss: 1.613 | Acc: 44.870
68 Loss: 1.607 | Acc: 45.100
69 Loss: 1.602 | Acc: 45.290
70 Loss: 1.597 | Acc: 45.360
71 Loss: 1.592 | Acc: 45.540
72 Loss: 1.586 | Acc: 45.690
73 Loss: 1.581 | Acc: 46.030
74 Loss: 1.576 | Acc: 46.280
75 Loss: 1.571 | Acc: 46.430
76 Loss: 1.566 | Acc: 46.620
77 Loss: 1.561 | Acc: 46.740
78 Loss: 1.556 | Acc: 46.860
79 Loss: 1.551 | Acc: 46.960
80 Loss: 1.547 | Acc: 47.160
81 Loss: 1.542 | Acc: 47.380
82 Loss: 1.537 | Acc: 47.700
